LandSF,TotalFinishedArea,TotalAppraisedValue
5500.0,667.0,106400.0
8220.0,1870.0,150800.0
8470.0,1795.2,152800.0
6960.0,3390.00001,186000.0
10800.0,2771.5,209400.0
5000.0,3587.5,175800.0
4760.0,3461.0,184800.0
9000.0,3447.0,249800.0
7500.0,2877.5,78800.0
6700.0,1116.0,94200.0
8100.0,1075.20001,145000.0
9048.0,1634.0,151000.0
5200.0,2706.0,84600.0
35000.0,8412.6,536300.0
4992.0,3741.0,227500.0
208620.0,6872.5,925000.0
7150.0,4200.0,221900.0
9365.0,2037.0,159400.0
20000.0,2128.0,131800.0
8100.0,1860.0,139800.0
5000.0,3458.5,161400.0
4000.0,3432.0,168100.0
9514.0,1834.5,157300.0
6000.0,1050.0,140300.0
22050.0,5349.0,588000.0
7314.0,1667.0,144600.0
9514.0,1834.5,157300.0
7500.0,2796.0,157300.0
8260.0,3597.5,213000.0
5476.0,2076.0,121000.0
10000.0,3774.0,197100.0
6757.0,1008.00001,120700.0
5650.0,1587.0,163200.0
20140.0,32105.5,1370000.0
8050.0,3012.0,209500.0
7700.0,1342.25,113700.0
6400.0,1226.0,73800.0
5805.0,7561.0,238100.0
11375.0,3657.0,129800.0
7313.0,900.0,126500.0
7880.0,3107.0,150700.0
7980.0,2180.0,166700.0
5750.0,2392.0,172200.0
8640.0,1932.0,141600.0
3250.0,2414.0,109900.0
5740.0,3062.5,175500.0
6410.0,2912.0,200200.0
3500.0,1496.0,144100.0
7750.0,4050.0,150200.0
10000.0,1123.20001,129700.0
95396.0,19383.0,883800.0
5980.0,3041.0,270700.0
4900.0,1040.20001,145700.0
6000.0,3504.0,179500.0
6250.0,868.0,110300.0
5494.0,1384.0,114700.0
5980.0,3899.0,165700.0
6490.0,1162.5,137500.0
6860.0,3523.25,170000.0
12090.0,3082.0,334300.0
10000.0,1156.0,126300.0
6380.0,4392.0,139500.0
6300.0,3696.0,158200.0
5895.0,3498.0,158400.0
6500.0,1572.0,146700.0
7500.0,2164.80001,145700.0
8190.0,3318.0,188400.0
15560.0,1308.0,163100.0
6000.0,3024.0,181500.0
7950.0,1044.0,143700.0
11250.0,4797.25,280000.0
8040.0,3798.0,155900.0
6610.0,4092.0,175100.0
17800.0,3604.0,239200.0
3500.0,3393.0,161200.0
7910.0,3393.0,61300.0
8230.0,3137.5,120600.0
6750.0,1773.00001,49300.0
7650.0,1048.00001,131700.0
5600.0,1032.0,130000.0
6424.0,3714.0,154000.0
7650.0,1048.00001,131700.0
6665.0,3738.0,81500.0
7750.0,1560.0,127100.0
4760.0,3461.0,184800.0
6250.0,1382.0,122100.0
5500.0,1800.0,171200.0
11592.0,3840.0,234100.0
6550.0,2145.60001,156500.0
6946.0,2334.0,190500.0
9765.0,3355.0,208300.0
6575.0,1008.00001,97100.0
13980.0,10055.52,532500.0
6300.0,3120.0,171500.0
5220.0,2656.0,221700.0
5250.0,2427.0,140300.0
8540.0,5156.0,241200.0
6215.0,864.0,101300.0
7740.0,1737.0,136000.0
8520.0,2725.0,274800.0
9984.0,3940.0,178700.0
3400.0,2824.0,130100.0
6650.0,1350.0,132600.0
7400.0,4464.0,220800.0
5000.0,3432.0,163500.0
6250.0,1368.0,114800.0
12000.0,2985.0,147500.0
6200.0,2382.0,159900.0
8650.0,1312.0,130900.0
5750.0,2240.0,155500.0
4875.0,2716.0,141900.0
9580.0,1789.0,129300.0
6750.0,3888.0,147800.0
4000.0,1280.0,187100.0
7000.0,2154.0,181800.0
4992.0,3741.0,227500.0
